iter	RMSE
0	15526.4324
1	14989.18308
2	14475.53881
3	13996.84853
4	13561.22946
5	13171.52873
6	12795.67702
7	12457.47925
8	12098.60862
9	11809.60487
10	11519.56796
11	11257.71556
12	11035.55045
13	10793.88712
14	10544.6802
15	10371.50195
16	10203.57263
17	10063.98622
18	9898.279497
19	9736.718497
20	9601.477809
21	9453.838363
22	9326.994265
23	9228.780381
24	9126.15215
25	9034.142656
26	8920.14854
27	8804.116274
28	8706.530507
29	8634.432866
30	8556.648907
31	8476.270852
32	8398.290626
33	8334.683391
34	8273.542414
35	8204.793153
36	8150.964531
37	8099.613907
38	8027.252152
39	7977.617945
40	7938.723944
41	7909.909872
42	7870.02333
43	7826.759755
44	7767.241869
45	7713.998928
46	7683.892681
47	7645.615684
48	7611.098308
49	7585.044591
50	7556.898289
51	7518.733172
52	7495.39103
53	7456.916446
54	7442.240093
55	7405.37735
56	7373.372065
57	7349.043979
58	7315.37684
59	7275.023359
60	7265.768235
61	7250.685402
62	7214.624448
63	7197.211264
64	7182.604329
65	7169.16249
66	7150.372122
67	7135.742073
68	7127.226024
69	7102.037758
70	7088.405283
71	7069.170802
72	7050.740111
73	7024.709511
74	7005.802422
75	6996.369634
76	6976.27732
77	6957.024629
78	6934.768984
79	6928.739651
80	6917.653933
81	6905.248722
82	6890.048092
83	6867.971757
84	6852.589924
85	6836.782151
86	6824.060427
87	6817.142003
88	6808.78058
89	6798.370812
90	6789.91141
91	6769.86132
92	6758.174598
93	6753.334225
94	6744.826175
95	6735.177436
96	6728.639658
97	6718.216115
98	6713.239157
99	6705.596309
100	6694.209713
101	6686.516128
102	6675.162748
103	6668.465823
104	6661.80299
105	6647.685821
106	6633.791608
107	6631.371041
108	6622.695921
109	6616.781278
110	6604.727724
111	6600.848432
112	6589.76659
113	6581.517158
114	6571.740041
115	6564.428502
116	6561.375999
117	6548.705206
118	6539.284584
119	6535.552491
120	6528.53832
121	6521.086906
122	6518.389266
123	6511.85238
124	6500.963724
125	6497.236463
126	6485.417871
127	6483.700508
128	6469.308174
129	6463.5905
130	6442.741778
131	6438.63742
132	6437.268408
133	6434.416417
134	6416.316737
135	6408.069235
136	6405.604991
137	6399.083245
138	6395.80216
139	6389.043572
140	6383.067906
141	6371.701035
142	6367.199829
143	6353.083765
144	6337.077876
145	6326.021872
146	6321.141724
147	6318.792084
148	6308.445387
149	6298.938105
150	6285.956533
151	6272.519229
152	6258.149117
153	6252.940449
154	6247.579657
155	6234.622671
156	6227.517578
157	6220.839306
158	6204.675275
159	6191.557934
160	6174.358701
161	6158.549183
162	6142.764475
163	6134.067788
164	6125.77981
165	6119.005645
166	6110.173361
167	6102.84169
168	6095.360028
169	6087.196102
170	6080.727825
171	6073.73655
172	6068.883883
173	6066.005817
174	6061.295097
175	6055.999478
176	6043.405475
177	6038.759878
178	6032.350792
179	6024.956744
180	6019.196395
181	6011.621212
182	6005.575653
183	5992.607741
184	5984.918099
185	5978.121778
186	5972.263574
187	5957.948348
188	5946.197701
189	5934.599137
190	5927.136177
191	5919.755723
192	5914.965541
193	5900.593055
194	5890.461451
195	5879.699532
196	5867.956956
197	5862.313549
198	5857.258938
199	5845.008295
200	5835.275582
201	5825.375352
202	5817.843855
203	5808.770639
204	5801.290304
205	5792.619683
206	5786.690599
207	5781.957971
208	5776.222483
209	5769.228644
210	5764.103928
211	5757.004404
212	5753.831212
213	5747.085479
214	5734.965025
215	5730.293692
216	5720.123376
217	5710.7006
218	5703.114223
219	5695.289937
220	5684.544305
221	5680.08348
222	5674.372547
223	5668.004759
224	5662.028921
225	5654.888222
226	5647.369449
227	5643.126532
228	5634.564494
229	5630.186993
230	5626.011433
231	5617.581113
232	5606.4921
233	5601.192697
234	5597.460284
235	5593.232805
236	5585.722116
237	5582.298993
238	5573.533183
239	5563.02584
240	5557.820553
241	5548.90607
242	5544.920775
243	5541.012564
244	5532.406134
245	5526.950066
246	5524.327826
247	5519.14866
248	5513.589138
249	5507.347125
250	5500.484758
251	5493.931882
252	5490.122411
253	5486.044441
254	5483.738756
255	5479.983874
256	5475.687722
257	5470.007504
258	5468.10301
259	5463.513733
260	5459.293594
261	5454.344387
262	5445.775428
263	5441.4265
264	5431.651482
265	5426.120656
266	5418.918995
267	5412.894031
268	5408.261785
269	5404.425405
270	5400.187794
271	5397.161563
272	5394.529802
273	5389.198739
274	5381.735518
275	5375.518637
276	5369.672579
277	5367.966954
278	5361.047521
279	5358.515025
280	5352.811417
281	5348.726947
282	5345.613522
283	5343.0469
284	5339.450125
285	5336.147066
286	5328.484923
287	5325.562867
288	5323.252725
289	5320.077894
290	5313.885767
291	5308.785691
292	5303.537983
293	5300.979887
294	5298.640127
295	5296.38208
296	5290.596744
297	5287.315933
298	5282.937498
299	5280.486797
300	5274.311316
301	5268.992445
302	5264.45245
303	5260.002604
304	5255.408187
305	5248.442866
306	5242.707443
307	5237.701904
308	5233.477919
309	5227.380081
310	5222.186802
311	5218.985472
312	5216.010263
313	5211.608836
314	5210.414168
315	5207.232505
316	5202.731105
317	5198.023827
318	5195.157184
319	5193.09479
320	5189.311552
321	5186.780309
322	5184.873376
323	5182.614479
324	5181.525133
325	5178.225396
326	5174.019885
327	5169.68981
328	5165.615043
329	5160.937798
330	5158.967963
331	5156.752998
332	5152.708741
333	5149.542855
334	5145.266643
335	5140.965263
336	5135.957644
337	5131.686212
338	5126.079108
339	5124.292524
340	5122.645324
341	5120.218148
342	5116.606637
343	5114.837265
344	5112.099254
345	5107.951728
346	5101.446886
347	5098.232744
348	5094.191059
349	5088.383383
350	5082.3574
351	5080.832155
352	5077.159813
353	5075.434041
354	5072.851389
355	5066.269655
356	5064.439778
357	5062.793878
358	5059.985883
359	5058.738321
360	5055.536092
361	5053.147401
362	5051.242502
363	5046.493043
364	5044.504943
365	5041.954603
366	5039.899697
367	5038.115941
368	5034.497095
369	5031.79252
370	5029.183156
371	5023.970047
372	5021.599237
373	5019.865968
374	5018.401276
375	5014.478386
376	5011.47304
377	5006.55833
378	5001.759733
379	4996.53243
380	4995.468204
381	4992.357221
382	4991.408469
383	4989.399669
384	4985.927033
385	4982.364195
386	4979.515216
387	4976.915278
388	4975.970877
389	4972.194756
390	4968.388925
391	4962.997376
392	4959.354918
393	4957.922053
394	4955.565552
395	4954.345195
396	4951.097942
397	4950.424166
398	4948.222312
399	4946.861093
400	4946.222411
401	4944.698866
402	4943.160356
403	4939.115477
404	4934.654158
405	4933.686161
406	4929.943821
407	4928.602014
408	4926.83221
409	4924.450397
410	4922.56922
411	4919.071725
412	4915.280634
413	4913.39881
414	4911.228249
415	4908.415154
416	4904.227095
417	4900.0625
418	4896.265
419	4894.188443
420	4893.455898
421	4890.382106
422	4887.435328
423	4883.94676
424	4882.101345
425	4878.265429
426	4877.733341
427	4874.767903
428	4871.428173
429	4867.55625
430	4867.226935
431	4864.801208
432	4864.295212
433	4863.694619
434	4860.128077
435	4857.129858
436	4853.884612
437	4850.376287
438	4849.099453
439	4848.625169
440	4844.578011
441	4840.64514
442	4837.197979
443	4835.828153
444	4833.399823
445	4830.831864
446	4829.759102
447	4826.499533
448	4824.905089
449	4823.498071
450	4820.628172
451	4818.218051
452	4816.467293
453	4815.053996
454	4813.679251
455	4810.914387
456	4808.747147
457	4807.44369
458	4805.171601
459	4802.139101
460	4799.536749
461	4797.168219
462	4794.244578
463	4790.935255
464	4788.774762
465	4788.366535
466	4787.241539
467	4784.710192
468	4782.510268
469	4779.726724
470	4776.005473
471	4771.496511
472	4769.471876
473	4768.323772
474	4767.647997
475	4766.38516
476	4764.760973
477	4762.990557
478	4759.28366
479	4755.680389
480	4751.943826
481	4748.902873
482	4747.482478
483	4745.2885
484	4743.375949
485	4740.971674
486	4736.496237
487	4734.116373
488	4732.194749
489	4731.650248
490	4729.004545
491	4728.390505
492	4725.592055
493	4724.24046
494	4722.465507
495	4719.529229
496	4717.784361
497	4717.149866
498	4714.954944
499	4713.863315
500	4712.230937
501	4707.520845
502	4706.154552
503	4702.839204
504	4702.501004
505	4699.365391
506	4695.340662
507	4693.936029
508	4690.221446
509	4687.952166
510	4684.901826
511	4684.35017
512	4681.978688
513	4678.811464
514	4676.685992
515	4674.287836
516	4672.938469
517	4669.743356
518	4666.655146
519	4662.87197
520	4661.56758
521	4660.534157
522	4657.483793
523	4653.446801
524	4651.497399
525	4648.961608
526	4647.475929
527	4645.41849
528	4644.506139
529	4642.648489
530	4641.182568
531	4639.768567
532	4638.999684
533	4637.944072
534	4637.339099
535	4634.372064
536	4633.357287
537	4629.847692
538	4629.546127
539	4627.803371
540	4626.131981
541	4624.75993
542	4621.918599
543	4620.842356
544	4617.969017
545	4615.810163
546	4614.289302
547	4612.090539
548	4610.141645
549	4608.22581
550	4604.592117
551	4602.47234
552	4599.073666
553	4596.251825
554	4593.97444
555	4593.563182
556	4590.978949
557	4588.986295
558	4588.208567
559	4587.053699
560	4585.567892
561	4584.85515
562	4582.869411
563	4581.064486
564	4578.812503
565	4575.815721
566	4573.823606
567	4572.071689
568	4569.395797
569	4568.055908
570	4566.363975
571	4562.358873
572	4561.877587
573	4560.351696
574	4558.78148
575	4557.11506
576	4555.769654
577	4554.182924
578	4553.248841
579	4550.194686
580	4547.799047
581	4543.975814
582	4543.383209
583	4541.604513
584	4540.995692
585	4539.014323
586	4537.173977
587	4533.940344
588	4533.40113
589	4532.841941
590	4530.383047
591	4529.26269
592	4526.066981
593	4523.945909
594	4522.105863
595	4520.08862
596	4519.174189
597	4517.660703
598	4515.769588
599	4513.778858
600	4512.060508
601	4509.384892
602	4506.329462
603	4504.254548
604	4502.373679
605	4500.99625
606	4500.357671
607	4498.241082
608	4497.424804
609	4495.845947
610	4493.938522
611	4491.352065
612	4490.090565
613	4487.82986
614	4487.107323
615	4485.242724
616	4483.356612
617	4481.085562
618	4480.75991
619	4479.062944
620	4477.739604
621	4475.574483
622	4473.011385
623	4470.236456
624	4467.783765
625	4466.013456
626	4464.168783
627	4462.917721
628	4461.398206
629	4460.57071
630	4458.957056
631	4458.22921
632	4455.86793
633	4452.743596
634	4451.119465
635	4448.479449
636	4447.861895
637	4447.021629
638	4445.515198
639	4445.120311
640	4443.572792
641	4442.389834
642	4440.338551
643	4438.464378
644	4437.213074
645	4434.849359
646	4433.058378
647	4430.293681
648	4428.349126
649	4426.928473
650	4424.391345
651	4423.73521
652	4422.217869
653	4420.397892
654	4418.16337
655	4416.609329
656	4415.274058
657	4413.525049
658	4412.655034
659	4410.755776
660	4408.660113
661	4408.486378
662	4406.900439
663	4405.209853
664	4402.853994
665	4400.819929
666	4400.24866
667	4399.078306
668	4397.518378
669	4396.36838
670	4396.022385
671	4395.099225
672	4392.332069
673	4390.859187
674	4389.143244
675	4388.391085
676	4386.802192
677	4385.874367
678	4384.332743
679	4383.545188
680	4382.037638
681	4380.863813
682	4377.752964
683	4376.582175
684	4375.058918
685	4373.893944
686	4371.656222
687	4369.917262
688	4369.582155
689	4368.019633
690	4367.695694
691	4366.775235
692	4365.116479
693	4363.883499
694	4362.304968
695	4360.735001
696	4359.601951
697	4358.159855
698	4357.66453
699	4355.816378
700	4353.482912
701	4352.842071
702	4351.602592
703	4349.695173
704	4348.382762
705	4348.121017
706	4345.308877
707	4344.029141
708	4342.345746
709	4340.80232
710	4338.791827
711	4337.50602
712	4336.879174
713	4335.353662
714	4333.497899
715	4332.764787
716	4330.619589
717	4329.889564
718	4328.387867
719	4327.397062
720	4325.079471
721	4323.270995
722	4321.55518
723	4320.01969
724	4317.443993
725	4316.520285
726	4314.600878
727	4312.405207
728	4310.44781
729	4308.334436
730	4306.980521
731	4306.139078
732	4305.459722
733	4303.761969
734	4301.701657
735	4299.255543
736	4298.308276
737	4296.212916
738	4295.33084
739	4294.907113
740	4293.371756
741	4291.745402
742	4290.360104
743	4289.201798
744	4287.823272
745	4287.015952
746	4285.022711
747	4282.917488
748	4282.724489
749	4281.149333
750	4278.474201
751	4277.161319
752	4275.339621
753	4274.853874
754	4274.586819
755	4272.77016
756	4270.65587
757	4268.356709
758	4266.799147
759	4265.189191
760	4262.902279
761	4261.014023
762	4258.300243
763	4257.266609
764	4256.197745
765	4254.212075
766	4252.36071
767	4251.288235
768	4249.745032
769	4247.937524
770	4246.426055
771	4245.004137
772	4244.610675
773	4242.696257
774	4241.273135
775	4240.316586
776	4238.717097
777	4237.314341
778	4235.424154
779	4233.011275
780	4230.824845
781	4229.635547
782	4228.196781
783	4227.488489
784	4226.686756
785	4226.246657
786	4225.200188
787	4223.617849
788	4222.782771
789	4220.540551
790	4219.100948
791	4216.953391
792	4216.227672
793	4215.249797
794	4213.769726
795	4212.131779
796	4210.977668
797	4208.560842
798	4207.985521
799	4204.378445
800	4203.004456
801	4201.564391
802	4200.73428
803	4200.284033
804	4199.871662
805	4199.279948
806	4197.360472
807	4195.549921
808	4194.675513
809	4192.485854
810	4191.113491
811	4188.507803
812	4186.741873
813	4184.9026
814	4183.27626
815	4182.476981
816	4182.231669
817	4180.49511
818	4177.82054
819	4176.665793
820	4175.333728
821	4173.786769
822	4172.255427
823	4169.027025
824	4167.737723
825	4167.05425
826	4165.955597
827	4165.536892
828	4163.15091
829	4161.782745
830	4160.447549
831	4158.116001
832	4157.584532
833	4156.715728
834	4155.459611
835	4154.182961
836	4152.775157
837	4151.488178
838	4150.424033
839	4149.027456
840	4147.676751
841	4145.22608
842	4144.574183
843	4143.602608
844	4142.315041
845	4141.681659
846	4140.6088
847	4139.26753
848	4138.167153
849	4137.074577
850	4135.459845
851	4133.982433
852	4132.459083
853	4131.172215
854	4129.733516
855	4128.249861
856	4126.912072
857	4126.307495
858	4124.86586
859	4123.784713
860	4122.591293
861	4121.372906
862	4120.002945
863	4118.754051
864	4117.399294
865	4116.849298
866	4115.495961
867	4114.146758
