iter	RMSE
0	1.071882191
1	1.05043882
2	1.029209336
3	1.010132007
4	0.9933171753
5	0.9770601206
6	0.962266282
7	0.9497136359
8	0.9376242319
9	0.9267708294
10	0.9148896194
11	0.905227988
12	0.8960173803
13	0.8874214657
14	0.8801098301
15	0.8729229594
16	0.8644015494
17	0.8585839491
18	0.8525096745
19	0.8463111358
20	0.8418270242
21	0.836431109
22	0.8315435858
23	0.827187845
24	0.8210261788
25	0.8163138738
26	0.8123631465
27	0.8082821534
28	0.8043344867
29	0.8004338785
30	0.7966681897
31	0.7930322625
32	0.7908272436
33	0.7875109132
34	0.7841586527
35	0.7812544531
36	0.7784825504
37	0.7756620612
38	0.7728526962
39	0.7706779117
40	0.7687466138
41	0.7660515156
42	0.7637648778
43	0.7610622427
44	0.758926997
45	0.7566075724
46	0.7546443743
47	0.7524622807
48	0.7503068245
49	0.7465842353
50	0.7437733729
51	0.7425069219
52	0.740051597
53	0.7381389038
54	0.7366596432
55	0.7350167616
56	0.7327928824
57	0.7311611412
58	0.7296478666
59	0.7278815659
60	0.7266507657
61	0.7249325173
62	0.7236542642
63	0.7214281249
64	0.7200633518
65	0.7186530817
66	0.7175061178
67	0.7163563972
68	0.7146122421
69	0.7132264483
70	0.7118742612
71	0.7104434478
72	0.7092774344
73	0.7082576541
74	0.7075610229
75	0.7063148182
76	0.7052890812
77	0.7043909366
78	0.7038965364
79	0.7029374991
80	0.7019255838
81	0.7009574664
82	0.6997245648
83	0.698505758
84	0.6970412557
85	0.6957696525
86	0.694572893
87	0.6937162205
88	0.6929832424
89	0.6917899823
90	0.6910986937
91	0.6901998384
92	0.6892609685
93	0.6884293874
94	0.6869564969
95	0.6861295022
96	0.6846430088
97	0.6836189621
98	0.6827770376
99	0.6823630057
100	0.6816724812
101	0.680689848
102	0.6790288422
103	0.6778828556
104	0.6774453183
105	0.6761369225
106	0.675358853
107	0.6747606016
108	0.6741607387
109	0.6733372744
110	0.6721715054
111	0.6715117788
112	0.6712594781
113	0.6707358576
114	0.6703394624
115	0.6694431951
116	0.6686638328
117	0.6679859032
118	0.6677144915
119	0.6671350503
120	0.6669328126
121	0.6664950262
122	0.6659976683
123	0.6653063469
124	0.6645466764
125	0.6641499653
126	0.6631692451
127	0.6625031274
128	0.6616809467
129	0.6611355962
130	0.6604672789
131	0.6599409492
132	0.6593996376
133	0.6591657782
134	0.658540445
135	0.6576800986
136	0.6571174488
137	0.6565382205
138	0.6562698446
139	0.6554167755
140	0.6548991125
