iter	Passed	Remaining
0	13	15492
1	26	14555
2	31	11737
3	43	12070
4	55	12213
5	67	12556
6	79	12622
7	91	12669
8	103	12719
9	115	12746
10	126	12668
11	137	12641
12	149	12652
13	161	12684
14	173	12702
15	185	12757
16	199	12890
17	212	12934
18	226	13040
19	238	13049
20	251	13067
21	265	13190
22	278	13194
23	291	13235
24	303	13226
25	315	13217
26	327	13178
27	339	13158
28	351	13150
29	363	13143
30	375	13113
31	387	13115
32	400	13126
33	412	13117
34	424	13077
35	436	13083
36	449	13086
37	462	13090
38	475	13112
39	488	13127
40	501	13133
41	513	13109
42	525	13100
43	538	13095
44	551	13112
45	564	13104
46	577	13107
47	589	13101
48	602	13094
49	615	13103
50	628	13096
51	639	13068
52	652	13054
53	665	13062
54	677	13042
55	688	13014
56	700	12985
57	713	12982
58	725	12975
59	737	12952
60	750	12950
61	763	12951
62	775	12937
63	787	12917
64	801	12927
65	811	12884
66	821	12834
67	831	12790
68	841	12742
69	852	12714
70	863	12681
71	874	12651
72	884	12619
73	895	12583
74	905	12546
75	916	12521
76	927	12493
77	937	12456
78	947	12416
79	957	12377
80	967	12336
81	977	12296
82	986	12260
83	996	12224
84	1007	12192
85	1017	12163
86	1027	12126
87	1038	12102
88	1048	12070
89	1057	12034
90	1067	11997
91	1078	11977
92	1087	11942
93	1097	11913
94	1107	11881
95	1117	11851
96	1127	11823
97	1139	11812
98	1149	11784
99	1158	11748
100	1168	11715
101	1177	11677
102	1187	11651
103	1196	11624
104	1206	11596
105	1216	11564
106	1225	11538
107	1235	11511
108	1246	11492
109	1257	11479
110	1268	11460
111	1280	11452
112	1291	11439
113	1302	11424
114	1312	11402
115	1322	11378
116	1331	11350
117	1341	11327
118	1352	11305
119	1364	11298
120	1375	11289
121	1385	11269
122	1396	11248
123	1407	11236
124	1417	11217
125	1427	11194
126	1438	11177
127	1447	11152
128	1457	11129
129	1467	11107
130	1476	11080
131	1486	11056
132	1496	11034
133	1505	11009
134	1515	10986
135	1524	10964
136	1534	10941
137	1544	10924
138	1554	10906
139	1564	10883
140	1573	10860
141	1582	10834
142	1593	10818
143	1603	10802
144	1613	10781
145	1622	10757
146	1632	10740
147	1644	10733
148	1654	10716
149	1664	10698
150	1674	10677
151	1684	10658
152	1694	10645
153	1705	10632
154	1716	10619
155	1727	10609
156	1738	10599
157	1749	10586
158	1760	10573
159	1771	10563
160	1782	10553
161	1793	10538
162	1803	10525
163	1813	10503
164	1822	10481
165	1833	10468
166	1843	10453
167	1853	10434
168	1863	10419
169	1874	10409
170	1885	10397
171	1895	10381
172	1906	10370
173	1916	10355
174	1927	10344
175	1940	10343
176	1951	10331
177	1963	10325
178	1973	10308
179	1984	10295
180	1995	10285
181	2005	10269
182	2016	10257
183	2027	10246
184	2038	10237
185	2051	10233
186	2062	10223
187	2078	10235
188	2098	10268
189	2115	10287
190	2127	10282
191	2139	10274
192	2151	10264
193	2161	10249
194	2172	10238
195	2183	10227
196	2195	10218
197	2206	10206
198	2216	10192
199	2226	10174
200	2235	10155
201	2245	10137
202	2255	10123
203	2264	10101
204	2274	10084
205	2283	10065
206	2292	10043
207	2301	10026
208	2311	10010
209	2321	9995
210	2333	9984
211	2343	9971
212	2353	9955
213	2364	9944
214	2375	9933
215	2385	9918
216	2396	9905
217	2406	9890
218	2416	9873
219	2425	9857
220	2435	9842
221	2445	9826
222	2455	9810
223	2465	9797
224	2477	9787
225	2488	9778
226	2492	9740
227	2503	9727
228	2513	9712
229	2522	9696
230	2532	9679
231	2541	9661
232	2550	9644
233	2560	9629
234	2570	9615
235	2579	9598
236	2589	9583
237	2600	9569
238	2609	9555
239	2620	9541
240	2630	9528
241	2640	9515
242	2650	9500
243	2660	9484
244	2669	9470
245	2678	9451
246	2688	9436
247	2697	9419
248	2707	9404
249	2717	9392
250	2728	9382
251	2740	9375
252	2753	9371
253	2766	9365
254	2776	9352
255	2786	9338
256	2798	9332
257	2810	9323
258	2821	9312
259	2833	9306
260	2845	9301
261	2858	9295
262	2870	9289
263	2882	9282
264	2893	9269
265	2903	9257
266	2913	9243
267	2924	9230
268	2934	9217
269	2944	9204
270	2954	9191
271	2964	9176
272	2974	9162
273	2983	9148
274	2994	9134
275	3004	9121
276	3013	9106
277	3023	9092
278	3033	9077
279	3042	9062
280	3053	9051
281	3062	9036
282	3072	9021
283	3082	9007
284	3092	8994
285	3101	8978
286	3111	8965
287	3121	8953
288	3131	8939
289	3140	8924
290	3150	8909
291	3159	8894
292	3169	8880
293	3177	8863
294	3187	8848
295	3196	8834
296	3207	8822
297	3216	8807
298	3226	8794
299	3237	8783
300	3246	8769
301	3255	8753
302	3266	8743
303	3278	8735
304	3289	8724
305	3300	8715
306	3310	8702
307	3321	8691
308	3332	8682
309	3345	8676
310	3357	8668
311	3367	8655
